id,symbol,market_cap_usd,price_usd,pct_below_ath,ath_date
dogecoin,doge,10878200363,0.070016,-90.43,2021-05-07
shiba-inu,shib,2714921258,4.61e-06,-94.649,2021-10-27
memecore,m,1516155431,1.14,-79.845,2026-07-02
pepe,pepe,1197432884,2.85e-06,-89.836,2024-12-09
pump-fun,pump,965094725,0.00245069,-72.212,2025-09-14
bianrensheng,币安人生,510686694,0.511237,-42.828,2026-06-07
pudgy-penguins,pengu,394965826,0.00628541,-90.817,2024-12-17
official-trump,trump,368417904,1.48,-97.979,2025-01-19
spx6900,spx,303014685,0.325459,-85.667,2025-07-28
bonk,bonk,218248065,2.48e-06,-95.742,2024-11-19
floki,floki,203410310,2.109e-05,-93.885,2024-06-04
ape-and-pepe,apepe,196399749,9.35289e-07,-86.422,2024-11-21
coco-2,coco,195520228,0.195535,-44.906,2026-05-06
peanut-2-2,peanut,184537139,0.00059528,-25.868,2026-03-26
binance-peg-dogecoin,doge,179081597,0.069856,-85.464,2024-12-07
build-on,b,144098683,0.144383,-81.067,2026-05-14
dogwifcoin,wif,142907789,0.143112,-97.034,2024-03-31
fartcoin,fartcoin,130331377,0.130353,-94.741,2025-01-19
loaded-lions,lion,129830216,0.00129831,-95.89,2025-08-27
cash-cat,cashcat,120905178,0.122307,-46.54,2026-07-11
tutorial,tut,117265721,0.14013,-17.43,2025-09-19
cheems-token,cheems,103832247,5.09859e-07,-76.405,2025-03-25
ribbita-by-virtuals,tibbir,99676488,0.099628,-77.359,2025-10-28
bermuda-shorts,short,97552718,2.021e-05,-96.746,2025-11-09
yzy,yzy,87937062,0.293864,-90.032,2025-08-20
smilek,smilek,87431380,4.996e-05,-0.131,2026-06-12
would,would,80548188,0.080607,-88.513,2025-04-02
banana-for-scale-2,bananas31,78292650,0.00783238,-86.435,2025-07-10
melania-meme,melania,75625765,0.075601,-99.421,2025-01-19
the-black-bull,ansem,74857700,0.179462,-59.546,2026-07-06
comedian,ban,73296524,0.073299,-80.608,2024-11-18
ordinals,ordi,73202721,3.49,-96.35,2024-03-04
marscoin-4,marscoin,63311741,0.063325,-3.694,2026-08-07
baby-doge-coin,babydoge,62602513,3.41025e-10,-94.752,2024-12-09
dog-go-to-the-moon-rune,dog,62278621,0.00062267,-93.725,2024-12-11
meme-horse,mhorse,60505144,0.060509,-49.887,2026-06-18
turbo,turbo,59383224,0.00086108,-93.985,2024-12-11
apes-2-2,apes,53910555,0.059901,-25.819,2026-04-03
memetoon,meme,51066669,0.0005107,-97.691,2023-09-13
rekt-4,rekt,45919932,1.09168e-07,-92.27,2025-08-08
non-playable-coin,npc,45891918,0.00569994,-91.386,2024-11-18
degen-base,degen,45546405,0.001253,-98.059,2024-03-31
