date,open,high,low,close,volume
2024-08-19,0.1000486,0.1018692,0.0985982,0.1013803,31867449.29549906
2024-08-20,0.1013914,0.1064075,0.1011839,0.1028991,56911956.14631717
2024-08-21,0.1029080,0.1079190,0.1020650,0.1061184,44588238.39708958
2024-08-22,0.1061184,0.1068159,0.1040122,0.1053567,37473342.72759545
2024-08-23,0.1053131,0.1154405,0.1053131,0.1129977,81636090.54664892
2024-08-24,0.1129992,0.1149978,0.1108236,0.1126685,46457644.91151787
2024-08-25,0.1126664,0.1128980,0.1078828,0.1097624,30718477.37543921
2024-08-26,0.1097798,0.1103423,0.1043450,0.1052362,37163918.10343893
2024-08-27,0.1052363,0.1064953,0.0962848,0.0989107,46372966.52710319
2024-08-28,0.0987444,0.1018561,0.0969077,0.0996335,60692861.77050186
2024-08-29,0.0996450,0.1026344,0.0982889,0.1004115,27565805.90272382
2024-08-30,0.1003678,0.1031134,0.0970828,0.1017721,39125223.10910393
2024-08-31,0.1017611,0.1022908,0.1004318,0.1012644,17467604.26095709
2024-09-01,0.1012925,0.1014794,0.0940183,0.0951260,56386111.44120958
2024-09-02,0.0949857,0.0998199,0.0940974,0.0990992,32910467.54586980
2024-09-03,0.0991000,0.1006795,0.0965292,0.0966738,27956964.07107471
2024-09-04,0.0968015,0.0994532,0.0917796,0.0980005,38738759.39514678
2024-09-05,0.0980575,0.0992271,0.0960233,0.0983776,55069109.35967873
2024-09-06,0.0984685,0.0994000,0.0889291,0.0925482,72650519.26641046
2024-09-07,0.0925108,0.0956768,0.0917396,0.0953380,44471886.74733288
2024-09-08,0.0952702,0.0969764,0.0938183,0.0960150,24425406.11585715
2024-09-09,0.0960737,0.1048862,0.0957486,0.1037298,54283673.90866652
2024-09-10,0.1037912,0.1045061,0.1015787,0.1027263,40816357.54354313
2024-09-11,0.1028384,0.1029914,0.0978883,0.1013594,55243633.33167031
2024-09-12,0.1013593,0.1033144,0.1004632,0.1027270,48800459.60162379
2024-09-13,0.1027390,0.1084205,0.1018411,0.1070534,56009667.49695046
2024-09-14,0.1070415,0.1076912,0.1043268,0.1054534,38986551.45329888
2024-09-15,0.1054228,0.1064445,0.1021988,0.1029087,48802208.55257126
2024-09-16,0.1028635,0.1032027,0.0983696,0.0996417,40467376.47259356
2024-09-17,0.0996683,0.1026460,0.0986932,0.1011441,42412141.03199214
2024-09-18,0.1010994,0.1039091,0.0994420,0.1038612,51588074.94045327
2024-09-19,0.1038873,0.1071618,0.1035000,0.1049441,39414475.19876971
2024-09-20,0.1050034,0.1074109,0.1036412,0.1055043,49326498.38326204
