date,open,high,low,close,volume
2025-01-23,2.3400,2.4997,1.3330,1.4645,395276.86191
2025-01-24,1.4000,1.6897,1.2174,1.2364,708309.75218
2025-01-25,1.2389,1.5197,1.0300,1.3337,489111.81621
2025-01-26,1.3500,1.4271,1.1030,1.1056,585855.54057
2025-01-27,1.1059,1.2273,0.8371,1.0018,3258975.38412
2025-01-28,1.0374,1.0990,0.7727,0.8086,1314247.88891
2025-01-29,0.8161,1.1800,0.7976,1.0069,4405767.87882
2025-01-30,1.0166,1.2888,0.9506,1.1334,4527806.85391
2025-01-31,1.1413,1.1510,0.8600,0.8929,3482694.00799
2025-02-01,0.8921,0.9670,0.6222,0.6261,6581648.13642
2025-02-02,0.6304,0.7189,0.5211,0.7186,10616222.50116
2025-02-03,0.7173,0.9100,0.5000,0.8054,24038128.46530
2025-02-04,0.8083,0.8311,0.6320,0.6431,5270596.71197
2025-02-05,0.6424,0.7081,0.4700,0.4937,5350861.70346
2025-02-06,0.4944,0.5371,0.4085,0.4253,5542341.15950
2025-02-07,0.4239,0.5850,0.4099,0.4219,5119738.91978
2025-02-08,0.4157,0.5650,0.4118,0.5432,4006533.14481
2025-02-09,0.5425,0.6585,0.4569,0.4840,6590914.34600
2025-02-10,0.4902,0.6811,0.4902,0.5673,9235817.99445
2025-02-11,0.5673,0.7171,0.5450,0.5632,6928882.57419
2025-02-12,0.5619,0.6103,0.4359,0.5743,10883317.15961
2025-02-13,0.5769,0.5986,0.4530,0.4765,6772584.25208
2025-02-14,0.4767,0.5893,0.4600,0.4895,5786167.34213
2025-02-15,0.4862,0.4912,0.3610,0.4374,5378570.43249
2025-02-16,0.4372,0.4673,0.4028,0.4228,3185424.99727
2025-02-17,0.4237,0.4676,0.3519,0.3600,5991314.18154
2025-02-18,0.3615,0.3727,0.2780,0.3212,18332651.98701
2025-02-19,0.3201,0.3367,0.2939,0.2977,7221373.02343
2025-02-20,0.2982,0.3790,0.2897,0.3548,5511379.20509
2025-02-21,0.3594,0.4093,0.3063,0.3075,6961508.71913
2025-02-22,0.3048,0.3886,0.3043,0.3618,5353636.98028
2025-02-23,0.3610,0.3611,0.3121,0.3348,4487649.38365
2025-02-24,0.3379,0.3427,0.2578,0.2768,11735687.94411
2025-02-25,0.2777,0.3065,0.2568,0.2881,14577753.25590
2025-02-26,0.2907,0.3463,0.2761,0.3374,9304059.70261
2025-02-27,0.3393,0.3483,0.2987,0.3081,6150412.91303
2025-02-28,0.3079,0.3110,0.2605,0.2971,13845291.84056
2025-03-01,0.2990,0.3149,0.2426,0.2519,7709962.70596
2025-03-02,0.2515,0.3617,0.2330,0.3506,19001063.07553
2025-03-03,0.3518,0.3969,0.2677,0.2677,11478909.88980
2025-03-04,0.2666,0.2751,0.2082,0.2590,14863899.66333
2025-03-05,0.2587,0.3169,0.2469,0.3072,10252637.89085
2025-03-06,0.3084,0.3600,0.2789,0.2893,15689628.66799
2025-03-07,0.2920,0.3022,0.2477,0.2496,13325211.48350
2025-03-08,0.2491,0.2970,0.2287,0.2372,8417816.92477
2025-03-09,0.2379,0.2680,0.2225,0.2325,5432436.37472
2025-03-10,0.2328,0.2470,0.1988,0.2186,11774135.42658
2025-03-11,0.2193,0.2750,0.2077,0.2612,10023924.29646
2025-03-12,0.2620,0.2943,0.2388,0.2909,11102956.52623
2025-03-13,0.2927,0.3041,0.2374,0.2430,8347468.65684
2025-03-14,0.2427,0.3189,0.2349,0.2837,13055783.88585
2025-03-15,0.2842,0.3475,0.2836,0.3352,8177228.05970
2025-03-16,0.3354,0.3587,0.2949,0.2957,6209147.58707
2025-03-17,0.2983,0.3500,0.2966,0.3224,8903757.23717
2025-03-18,0.3213,0.3225,0.2652,0.2950,9216533.36671
2025-03-19,0.2958,0.4155,0.2958,0.3979,22309688.72104
2025-03-20,0.3989,0.4177,0.3395,0.3608,20781428.92899
2025-03-21,0.3593,0.4360,0.3430,0.4277,13586605.65308
2025-03-22,0.4275,0.4855,0.4010,0.4423,19831454.42250
2025-03-23,0.4429,0.5557,0.4323,0.5522,15227887.28774
2025-03-24,0.5520,0.6800,0.5124,0.5732,22967868.43339
2025-03-25,0.5728,0.6000,0.5125,0.5810,21689442.42713
2025-03-26,0.5809,0.6420,0.5050,0.5228,19322748.99709
2025-03-27,0.5229,0.5967,0.5197,0.5333,15980421.41448
2025-03-28,0.5315,0.5441,0.4453,0.4692,16642988.29091
2025-03-29,0.4691,0.4720,0.4020,0.4186,15939725.05724
2025-03-30,0.4173,0.4879,0.4065,0.4471,18925165.08550
2025-03-31,0.4473,0.4621,0.3830,0.4539,28750307.29365
2025-04-01,0.4538,0.5522,0.4470,0.5224,20649382.59914
2025-04-02,0.5217,0.5684,0.4119,0.4200,30124102.60423
2025-04-03,0.4233,0.4482,0.3551,0.4178,27114833.67860
2025-04-04,0.4222,0.5278,0.4037,0.5108,36994746.47970
2025-04-05,0.5123,0.5395,0.4513,0.4968,18401866.67541
2025-04-06,0.4970,0.5000,0.4157,0.4439,23315913.66162
2025-04-07,0.4415,0.5667,0.4061,0.5523,83257355.64498
