date,open,high,low,close,volume
2024-08-19,0.00011320,0.00011600,0.00011280,0.00011570,224423825.45574333
2024-08-20,0.00011610,0.00013500,0.00011610,0.00012480,905025580.14254168
2024-08-21,0.00012490,0.00012930,0.00012030,0.00012850,340577902.42988534
2024-08-22,0.00012800,0.00014400,0.00012700,0.00013900,831713671.05528261
2024-08-23,0.00013910,0.00015320,0.00013550,0.00014860,896441482.99234070
2024-08-24,0.00014990,0.00015990,0.00013500,0.00015280,421396882.22876678
2024-08-25,0.00015260,0.00015300,0.00014170,0.00014990,110138666.58222199
2024-08-26,0.00015140,0.00015600,0.00014300,0.00015010,775167939.15477249
2024-08-27,0.00014940,0.00016180,0.00014550,0.00014670,946976730.45693519
2024-08-28,0.00014540,0.00018000,0.00014150,0.00015540,392737031.07724346
2024-08-29,0.00015520,0.00016430,0.00013670,0.00013670,953493107.35047426
2024-08-30,0.00013650,0.00013650,0.00012200,0.00012760,1382915350.00002860
2024-08-31,0.00012710,0.00013080,0.00012460,0.00012530,435524157.51555527
2024-09-01,0.00012540,0.00012550,0.00011580,0.00011680,44582366.25410349
2024-09-02,0.00011660,0.00012210,0.00011500,0.00012150,231982957.72864767
2024-09-03,0.00012310,0.00012640,0.00011930,0.00012010,146696937.19779678
2024-09-04,0.00011950,0.00012370,0.00011360,0.00012220,193412975.19643187
2024-09-05,0.00012360,0.00012450,0.00011810,0.00011950,138837684.20388431
2024-09-06,0.00012060,0.00012280,0.00011150,0.00011550,95881244.44844420
2024-09-07,0.00011670,0.00012050,0.00011670,0.00011950,104284281.85141893
2024-09-08,0.00011880,0.00012520,0.00011880,0.00012350,257961312.43626807
2024-09-09,0.00012190,0.00013660,0.00012190,0.00012910,264529525.35008087
2024-09-10,0.00012620,0.00012910,0.00012580,0.00012840,218368872.16555405
2024-09-11,0.00012380,0.00012380,0.00011930,0.00012240,100880657.40712404
2024-09-12,0.00012280,0.00012530,0.00012260,0.00012440,123648343.00561508
2024-09-13,0.00012450,0.00013190,0.00012320,0.00013040,88002345.21420036
2024-09-14,0.00012970,0.00013020,0.00012490,0.00012560,36726976.72223233
2024-09-15,0.00012600,0.00012650,0.00012020,0.00012090,85534783.09560502
2024-09-16,0.00012020,0.00012200,0.00011730,0.00011870,49690555.53664723
2024-09-17,0.00011850,0.00012420,0.00011790,0.00012140,196307469.38137479
2024-09-18,0.00012060,0.00012800,0.00011800,0.00012690,746235604.78376663
2024-09-19,0.00012910,0.00013760,0.00012860,0.00013130,309745368.56219614
2024-09-20,0.00012910,0.00013680,0.00012830,0.00013430,265014525.69805257
2024-09-21,0.00013400,0.00013590,0.00013180,0.00013470,32459231.67523083
2024-09-22,0.00013660,0.00013670,0.00012690,0.00012980,158158333.50748016
2024-09-23,0.00013310,0.00013500,0.00013130,0.00013420,263959027.99301440
2024-09-24,0.00013410,0.00014330,0.00013260,0.00014180,407786023.62572484
2024-09-25,0.00014160,0.00014510,0.00013680,0.00013680,180868860.71867831
2024-09-26,0.00013770,0.00015320,0.00013620,0.00015040,634615366.20423422
2024-09-27,0.00015040,0.00017690,0.00014950,0.00016830,680486849.62101380
2024-09-28,0.00016870,0.00017300,0.00016240,0.00017010,223136844.88687289
2024-09-29,0.00016950,0.00017370,0.00016120,0.00016120,182210854.54406149
2024-09-30,0.00016340,0.00016520,0.00015160,0.00015160,419742202.34485375
2024-10-01,0.00015380,0.00016310,0.00012990,0.00013670,1591585942.28996702
2024-10-02,0.00013740,0.00014420,0.00012980,0.00013360,394753133.32980518
2024-10-03,0.00013380,0.00013480,0.00012430,0.00012880,264089275.44878799
