date,open,high,low,close,volume
2024-08-29,0.010380,0.010500,0.009870,0.009980,237769.94429
2024-08-30,0.010020,0.011000,0.009440,0.010010,1253529.67090
2024-08-31,0.009990,0.010110,0.009600,0.009740,576619.91462
2024-09-01,0.009740,0.009760,0.009210,0.009250,342647.24578
2024-09-02,0.009230,0.009820,0.009220,0.009740,495434.53565
2024-09-03,0.009800,0.009970,0.009190,0.009190,574020.13349
2024-09-04,0.009180,0.009590,0.008500,0.009380,2511284.47326
2024-09-05,0.009320,0.009350,0.008860,0.008930,268280.81183
2024-09-06,0.008930,0.009210,0.008330,0.008610,254326.51551
2024-09-07,0.008670,0.009020,0.008550,0.008800,175245.80687
2024-09-08,0.008830,0.009290,0.008800,0.009290,118429.40325
2024-09-09,0.009290,0.009760,0.009200,0.009720,233484.05513
2024-09-10,0.009670,0.009870,0.009360,0.009720,1112368.40968
2024-09-11,0.009650,0.009700,0.009070,0.009380,1008134.10646
2024-09-12,0.009550,0.009850,0.009480,0.009760,526927.79388
2024-09-13,0.009770,0.010210,0.009490,0.010110,841543.64265
2024-09-14,0.010130,0.010260,0.009900,0.010060,630147.71335
2024-09-15,0.010070,0.010210,0.009510,0.009590,338163.11316
2024-09-16,0.009480,0.009600,0.009010,0.009120,208300.91453
2024-09-17,0.009020,0.010120,0.009020,0.009960,906143.58232
2024-09-18,0.010090,0.010550,0.009700,0.010340,1778979.01568
2024-09-19,0.010440,0.010990,0.010420,0.010620,692755.07603
2024-09-20,0.010580,0.011220,0.010340,0.010640,1247644.52948
2024-09-21,0.010610,0.010870,0.010280,0.010870,172474.68858
2024-09-22,0.010780,0.010900,0.010340,0.010480,475689.20937
2024-09-23,0.010690,0.010970,0.010620,0.010920,110182.17024
2024-09-24,0.011000,0.011200,0.010650,0.011200,521213.06834
2024-09-25,0.011160,0.011480,0.010820,0.010900,587667.95466
2024-09-26,0.010870,0.012250,0.010690,0.011990,1789693.00492
2024-09-27,0.012190,0.013040,0.011820,0.012700,1153819.22656
2024-09-28,0.012700,0.013220,0.011930,0.012290,502737.18238
2024-09-29,0.012340,0.012960,0.011970,0.012580,763160.90684
2024-09-30,0.012460,0.012800,0.011700,0.011780,481168.00061
2024-10-01,0.012040,0.012390,0.009510,0.010300,1347824.37061
2024-10-02,0.010270,0.010860,0.009640,0.009880,948315.77118
2024-10-03,0.009790,0.009870,0.009110,0.009460,421673.80139
2024-10-04,0.009440,0.010220,0.009400,0.009940,953354.27945
2024-10-05,0.010090,0.010250,0.009560,0.009870,1308629.05407
2024-10-06,0.009870,0.010290,0.009840,0.010210,181231.95108
2024-10-07,0.010220,0.010710,0.010180,0.010340,616108.88762
2024-10-08,0.010330,0.010380,0.009910,0.010120,254456.23675
2024-10-09,0.009980,0.010220,0.009260,0.009350,908885.83296
2024-10-10,0.009410,0.009590,0.009020,0.009440,1429515.65422
2024-10-11,0.009590,0.010280,0.009590,0.010170,410622.91933
2024-10-12,0.010250,0.012110,0.010250,0.011390,1656851.26126
2024-10-13,0.011570,0.011680,0.010750,0.011140,891392.55654
2024-10-14,0.011070,0.017060,0.011070,0.014810,5489168.88548
2024-10-15,0.014950,0.016190,0.013480,0.014010,4822872.01478
2024-10-16,0.013960,0.013990,0.012460,0.013080,1988031.76837
2024-10-17,0.013180,0.013300,0.012340,0.012730,3063928.37752
2024-10-18,0.012820,0.013690,0.012780,0.013300,4615575.23622
2024-10-19,0.013510,0.013740,0.013000,0.013080,1829276.68426
2024-10-20,0.013290,0.014540,0.013000,0.014070,14926743.14277
2024-10-21,0.014260,0.014460,0.013210,0.013210,3033002.53741
2024-10-22,0.013230,0.013440,0.012410,0.012650,917214.62836
2024-10-23,0.012690,0.012740,0.011620,0.012340,3056715.43778
2024-10-24,0.012320,0.013020,0.012290,0.012910,725023.19645
2024-10-25,0.012910,0.012910,0.010930,0.011170,2198784.14317
2024-10-26,0.011170,0.013570,0.011130,0.013450,3065222.44875
2024-10-27,0.013410,0.013820,0.013140,0.013530,1129195.87505
2024-10-28,0.013600,0.013790,0.012570,0.013210,1062579.17619
2024-10-29,0.013290,0.013670,0.012710,0.013210,1185895.83356
2024-10-30,0.013230,0.014300,0.013230,0.013660,1588456.67656
2024-10-31,0.013460,0.013590,0.012220,0.012270,379357.63688
2024-11-01,0.012330,0.013030,0.011450,0.011560,452972.33343
2024-11-02,0.011660,0.011750,0.011130,0.011130,749661.31283
2024-11-03,0.011200,0.011250,0.009950,0.010670,1916017.97192
2024-11-04,0.010620,0.010990,0.010030,0.010390,1136077.97163
2024-11-05,0.010420,0.011460,0.010410,0.011140,1796703.06674
2024-11-06,0.011200,0.012020,0.011010,0.011740,1151676.43985
2024-11-07,0.011770,0.012070,0.011020,0.011220,1590312.33786
2024-11-08,0.011470,0.011480,0.010470,0.010920,726365.94576
2024-11-09,0.010990,0.011900,0.010740,0.011860,949265.51606
2024-11-10,0.011780,0.013410,0.011690,0.012590,2721815.19786
2024-11-11,0.012720,0.013950,0.012160,0.013830,3078868.57563
2024-11-12,0.013770,0.014830,0.012310,0.014270,3421811.10326
2024-11-13,0.013920,0.017860,0.012120,0.014120,6134742.41045
2024-11-14,0.014130,0.015900,0.013040,0.013120,15686152.60377
2024-11-15,0.013250,0.015130,0.012590,0.014570,13240607.50211
2024-11-16,0.014920,0.015530,0.013970,0.014470,8477904.54234
2024-11-17,0.014370,0.014890,0.013470,0.014200,11778371.04242
2024-11-18,0.014200,0.014710,0.013850,0.014370,7477978.65946
2024-11-19,0.014280,0.014280,0.013200,0.013410,4650298.55063
2024-11-20,0.013500,0.013500,0.012100,0.012580,18644559.39306
2024-11-21,0.012430,0.013600,0.012060,0.013400,1678656.59596
2024-11-22,0.013360,0.013530,0.012640,0.013390,3319840.65369
2024-11-23,0.013520,0.014700,0.013390,0.014240,3566447.82828
2024-11-24,0.014260,0.015250,0.013270,0.014560,6033554.72032
2024-11-25,0.014500,0.015210,0.013850,0.014660,4582398.92924
2024-11-26,0.014770,0.015260,0.012780,0.013310,5289540.04668
2024-11-27,0.013230,0.014410,0.012930,0.014390,5137856.69405
2024-11-28,0.014410,0.015330,0.014340,0.014980,5564753.82538
2024-11-29,0.015190,0.016250,0.014520,0.015190,5735101.76278
2024-11-30,0.015130,0.016630,0.014970,0.016080,5987558.19378
2024-12-01,0.016010,0.016750,0.015580,0.016300,6593095.48956
2024-12-02,0.016290,0.016510,0.014470,0.016120,6763798.69166
2024-12-03,0.016220,0.016800,0.014760,0.016800,3655311.63807
2024-12-04,0.016850,0.017720,0.016420,0.017270,4674563.69111
2024-12-05,0.017030,0.017270,0.015300,0.016700,8043295.03800
2024-12-06,0.016910,0.017420,0.016180,0.016870,3059328.70738
2024-12-07,0.016770,0.018590,0.016640,0.018070,4874203.50138
2024-12-08,0.018030,0.018440,0.017260,0.017900,3851734.86533
2024-12-09,0.017760,0.017990,0.011880,0.014350,9724915.03320
2024-12-10,0.013910,0.014670,0.012300,0.013340,12683630.79894
2024-12-11,0.013390,0.014410,0.012840,0.014360,2979140.65332
2024-12-12,0.014310,0.015020,0.014130,0.014230,2320587.45517
2024-12-13,0.014330,0.014440,0.013720,0.014030,2755641.40673
2024-12-14,0.014160,0.014320,0.013000,0.013330,2050213.15222
2024-12-15,0.013220,0.013660,0.012840,0.013660,3686814.07275
2024-12-16,0.013580,0.013910,0.012840,0.013160,3880914.48521
2024-12-17,0.013080,0.013220,0.012490,0.012560,1644029.36044
2024-12-18,0.012590,0.012700,0.010740,0.011170,3352454.58858
2024-12-19,0.011000,0.011240,0.009990,0.010460,5986799.47928
2024-12-20,0.010380,0.010980,0.008950,0.010890,2390831.26706
2024-12-21,0.010820,0.011580,0.010060,0.010170,2379235.14665
2024-12-22,0.010290,0.010680,0.009980,0.010310,1930119.36403
2024-12-23,0.010210,0.010990,0.010110,0.010820,1132596.28841
2024-12-24,0.010820,0.011450,0.010540,0.011380,1819534.54651
2024-12-25,0.011310,0.011450,0.010960,0.011130,1195213.79774
2024-12-26,0.011220,0.011310,0.010530,0.010590,828368.66186
2024-12-27,0.010680,0.011190,0.010600,0.010760,273009.00979
2024-12-28,0.010760,0.011280,0.010640,0.011220,859682.64518
2024-12-29,0.011200,0.011260,0.010580,0.010580,1283884.94940
2024-12-30,0.010670,0.011190,0.010510,0.010730,1155038.93350
2024-12-31,0.010670,0.010960,0.010250,0.010660,431815.25359
2025-01-01,0.010820,0.010890,0.010450,0.010840,993964.53170
2025-01-02,0.010830,0.011390,0.010820,0.011150,3130524.32975
2025-01-03,0.011150,0.011750,0.010890,0.011650,1414530.16592
2025-01-04,0.011700,0.011720,0.011370,0.011570,758189.56407
2025-01-05,0.011530,0.011560,0.011290,0.011400,375017.59620
2025-01-06,0.011340,0.011740,0.011240,0.011490,536234.50438
2025-01-07,0.011430,0.011550,0.010110,0.010170,2199524.91940
2025-01-08,0.010170,0.010170,0.009120,0.009570,773065.61960
2025-01-09,0.009600,0.009640,0.009060,0.009270,3871544.58771
2025-01-10,0.009360,0.009690,0.009260,0.009560,243708.07870
2025-01-11,0.009500,0.009690,0.009370,0.009540,502444.60882
2025-01-12,0.009550,0.009570,0.009230,0.009260,429965.55387
2025-01-13,0.009280,0.009540,0.008180,0.008740,1887499.61246
2025-01-14,0.008700,0.009260,0.008640,0.009180,1778703.20717
2025-01-15,0.009170,0.009630,0.008880,0.009600,710225.37121
2025-01-16,0.009400,0.009550,0.009240,0.009310,908710.39921
2025-01-17,0.009330,0.010200,0.009330,0.010140,790638.55473
2025-01-18,0.010250,0.010330,0.009120,0.009510,7049292.00666
2025-01-19,0.009500,0.012000,0.008500,0.008630,27099044.74756
2025-01-20,0.008550,0.010990,0.008080,0.008380,12129609.31052
2025-01-21,0.008290,0.008790,0.007850,0.008570,6182137.07852
2025-01-22,0.008600,0.008800,0.008470,0.008550,3231202.07421
2025-01-23,0.008540,0.008570,0.007990,0.008410,2503489.08099
2025-01-24,0.008390,0.008490,0.007930,0.007940,1004966.13521
2025-01-25,0.007900,0.008120,0.007760,0.008000,1078211.96177
2025-01-26,0.008070,0.008310,0.007830,0.007850,492936.88298
2025-01-27,0.007710,0.007790,0.006760,0.007340,3370464.08929
2025-01-28,0.007300,0.007420,0.006460,0.006530,1198628.10048
2025-01-29,0.006560,0.007250,0.006520,0.006900,4788058.68285
2025-01-30,0.006890,0.007240,0.006870,0.007120,3127450.86335
2025-01-31,0.007130,0.007540,0.007030,0.007140,911892.66083
2025-02-01,0.007120,0.007260,0.006120,0.006190,662151.95183
2025-02-02,0.006260,0.006330,0.004770,0.005140,5363128.40236
2025-02-03,0.005090,0.005300,0.003860,0.005210,9277623.58501
2025-02-04,0.005270,0.005270,0.004600,0.004930,10972348.31744
2025-02-05,0.004870,0.005020,0.004690,0.004750,647951.62894
2025-02-06,0.004780,0.004840,0.004300,0.004330,2021033.90567
2025-02-07,0.004370,0.004580,0.004080,0.004230,2443934.85491
2025-02-08,0.004240,0.004700,0.004240,0.004610,1925702.67288
2025-02-09,0.004560,0.004650,0.004230,0.004450,366435.41352
2025-02-10,0.004470,0.004520,0.004260,0.004480,578794.92335
2025-02-11,0.004560,0.004730,0.004320,0.004370,429150.06441
2025-02-12,0.004350,0.004740,0.004230,0.004740,2821967.18396
2025-02-13,0.004760,0.004780,0.004510,0.004550,612737.64468
2025-02-14,0.004540,0.005000,0.004500,0.004730,3821966.39826
2025-02-15,0.004730,0.004790,0.004570,0.004600,535987.84783
2025-02-16,0.004590,0.004670,0.004480,0.004570,597320.01327
2025-02-17,0.004550,0.004650,0.004240,0.004350,315134.39613
2025-02-18,0.004320,0.004340,0.003990,0.004120,2076103.48464
2025-02-19,0.004120,0.004190,0.004040,0.004090,697044.71789
2025-02-20,0.004160,0.004280,0.004080,0.004250,1520416.57209
2025-02-21,0.004260,0.004580,0.004060,0.004090,3590715.86376
2025-02-22,0.004100,0.004520,0.004060,0.004500,3193321.03940
2025-02-23,0.004510,0.004560,0.004270,0.004340,355370.45237
2025-02-24,0.004240,0.004240,0.003410,0.003570,4962087.51863
2025-02-25,0.003470,0.003740,0.003340,0.003700,1811041.91087
2025-02-26,0.003730,0.003850,0.003610,0.003850,16024698.89198
2025-02-27,0.003760,0.003950,0.003710,0.003800,601177.87070
2025-02-28,0.003700,0.003990,0.003390,0.003810,8495148.27620
2025-03-01,0.003750,0.003800,0.003520,0.003610,298986.69951
2025-03-02,0.003630,0.004040,0.003500,0.004040,932786.29761
2025-03-03,0.003980,0.003980,0.003190,0.003300,1084535.45763
2025-03-04,0.003290,0.003300,0.002860,0.003160,1825246.04715
2025-03-05,0.003110,0.003130,0.002970,0.003110,6280632.66871
2025-03-06,0.003110,0.003150,0.002890,0.003000,2597011.76914
2025-03-07,0.003000,0.003130,0.002830,0.002930,10695953.83109
2025-03-08,0.002880,0.002910,0.002710,0.002720,1073213.66267
2025-03-09,0.002770,0.002770,0.002320,0.002360,1061716.78619
2025-03-10,0.002480,0.002610,0.002240,0.002370,1925961.08809
2025-03-11,0.002380,0.002550,0.002180,0.002470,10466330.98339
2025-03-12,0.002470,0.002510,0.002340,0.002460,6209038.45335
