date,open,high,low,close,volume
2024-11-11,0.0000019460,0.0000020250,0.0000018000,0.0000019210,634102811048.99315
2024-11-12,0.0000019170,0.0000019860,0.0000016930,0.0000018200,969179569892.24657
2024-11-13,0.0000018260,0.0000024550,0.0000016260,0.0000023980,1532445173802.76627
2024-11-14,0.0000024180,0.0000026280,0.0000021400,0.0000023490,1562801458306.10520
2024-11-15,0.0000023500,0.0000028480,0.0000022330,0.0000027900,1295562076047.65469
2024-11-16,0.0000027930,0.0000029940,0.0000026000,0.0000026450,944416627759.80338
2024-11-17,0.0000026440,0.0000027310,0.0000024140,0.0000024640,621157866973.42069
2024-11-18,0.0000024640,0.0000025140,0.0000022870,0.0000023870,450531986246.00867
2024-11-19,0.0000023840,0.0000024760,0.0000023140,0.0000024030,429270969244.85003
2024-11-20,0.0000024070,0.0000024230,0.0000020070,0.0000020740,376978867840.72163
2024-11-21,0.0000020650,0.0000028680,0.0000020640,0.0000025610,1144188657261.70340
2024-11-22,0.0000025630,0.0000029860,0.0000024410,0.0000026210,975641206537.23370
2024-11-23,0.0000026160,0.0000027810,0.0000024720,0.0000026420,828344802737.92898
2024-11-24,0.0000026450,0.0000027300,0.0000023770,0.0000026130,533693958072.84681
2024-11-25,0.0000026130,0.0000028790,0.0000024200,0.0000024680,460201609311.13466
2024-11-26,0.0000024650,0.0000025480,0.0000022070,0.0000023510,479796959020.53208
2024-11-27,0.0000023490,0.0000027030,0.0000023230,0.0000025710,313909547332.40975
2024-11-28,0.0000025750,0.0000025930,0.0000023760,0.0000024510,177619272505.99758
2024-11-29,0.0000024480,0.0000025830,0.0000023370,0.0000025130,433884257302.37014
2024-11-30,0.0000025230,0.0000026480,0.0000024750,0.0000025910,311335183423.23029
2024-12-01,0.0000025910,0.0000027000,0.0000023620,0.0000024020,272653863089.61093
2024-12-02,0.0000024030,0.0000024760,0.0000020400,0.0000022210,483024067845.20151
2024-12-03,0.0000022210,0.0000031990,0.0000020480,0.0000024720,1661925852640.74452
2024-12-04,0.0000024730,0.0000024990,0.0000022510,0.0000023340,492807332965.53641
2024-12-05,0.0000023340,0.0000029440,0.0000022060,0.0000028710,904747806876.64443
2024-12-06,0.0000028670,0.0000039400,0.0000028350,0.0000037450,1970824370148.49102
2024-12-07,0.0000037490,0.0000040500,0.0000036340,0.0000038440,714260407500.16713
2024-12-08,0.0000038440,0.0000038970,0.0000036100,0.0000037930,406110386896.88427
2024-12-09,0.0000037940,0.0000038800,0.0000030280,0.0000034790,498361486955.73733
2024-12-10,0.0000034750,0.0000036170,0.0000030100,0.0000033390,556680906341.08119
2024-12-11,0.0000033400,0.0000034500,0.0000031260,0.0000033050,514319191682.83295
2024-12-12,0.0000033020,0.0000033470,0.0000029650,0.0000030950,404653676208.64151
2024-12-13,0.0000030980,0.0000032530,0.0000030280,0.0000031030,262852576818.26598
2024-12-14,0.0000031010,0.0000031470,0.0000028500,0.0000029400,146210798554.98625
2024-12-15,0.0000029380,0.0000030860,0.0000028320,0.0000030640,107081733784.53430
2024-12-16,0.0000030730,0.0000031460,0.0000029070,0.0000030000,444723893121.03656
2024-12-17,0.0000029900,0.0000030390,0.0000022550,0.0000027250,363914704671.62064
2024-12-18,0.0000027300,0.0000027820,0.0000024570,0.0000025030,257857647344.84824
2024-12-19,0.0000024920,0.0000025960,0.0000022060,0.0000023400,543877238783.58154
2024-12-20,0.0000023440,0.0000024080,0.0000019730,0.0000022840,355732278848.75827
2024-12-21,0.0000022750,0.0000023170,0.0000019600,0.0000020050,470526590169.52053
2024-12-22,0.0000020000,0.0000022470,0.0000019800,0.0000020950,222556415771.31336
2024-12-23,0.0000020910,0.0000023730,0.0000020380,0.0000023180,285644006807.98919
2024-12-24,0.0000023140,0.0000025030,0.0000022350,0.0000024690,181048278597.09794
2024-12-25,0.0000024760,0.0000026060,0.0000024380,0.0000024800,115908319367.92393
2024-12-26,0.0000024770,0.0000024950,0.0000021740,0.0000021890,154116902363.70621
2024-12-27,0.0000022060,0.0000023220,0.0000021440,0.0000022290,316836064082.64350
2024-12-28,0.0000022370,0.0000023960,0.0000021840,0.0000023510,95859199632.60301
2024-12-29,0.0000023390,0.0000023410,0.0000020600,0.0000020900,132680981967.75843
2024-12-30,0.0000020800,0.0000021660,0.0000020430,0.0000020940,184894960994.84984
2024-12-31,0.0000020980,0.0000021350,0.0000020010,0.0000020200,178688048333.70274
2025-01-01,0.0000020170,0.0000020780,0.0000019820,0.0000020170,104687482445.07221
2025-01-02,0.0000020170,0.0000021840,0.0000019420,0.0000021260,235683305357.71496
2025-01-03,0.0000021220,0.0000025830,0.0000020610,0.0000025670,256218629278.78590
2025-01-04,0.0000025610,0.0000028480,0.0000024270,0.0000027780,300719338944.04851
2025-01-05,0.0000027860,0.0000029390,0.0000026730,0.0000028960,652346662133.54384
2025-01-06,0.0000029000,0.0000029770,0.0000026640,0.0000026740,370054954032.15859
2025-01-07,0.0000026650,0.0000026860,0.0000023590,0.0000023690,167685892863.84005
2025-01-08,0.0000023720,0.0000023930,0.0000020950,0.0000021800,171886597493.26315
2025-01-09,0.0000021780,0.0000022010,0.0000019040,0.0000019440,296905535110.00300
