date,open,high,low,close,volume
2025-01-28,0.021600,0.021600,0.015180,0.015580,28254963.19878
2025-01-29,0.015560,0.016800,0.015010,0.015070,66868601.43003
2025-01-30,0.015100,0.015870,0.014450,0.014690,82438867.72918
2025-01-31,0.014720,0.015850,0.013830,0.014770,77499205.44971
2025-02-01,0.014770,0.017120,0.013470,0.013580,83090770.03264
2025-02-02,0.013590,0.014450,0.012060,0.013020,92515639.81937
2025-02-03,0.012990,0.013950,0.009500,0.013620,50159357.38483
2025-02-04,0.013510,0.013870,0.012070,0.013100,19322002.63568
2025-02-05,0.013190,0.014030,0.011550,0.011610,20194403.66430
2025-02-06,0.011750,0.012060,0.010600,0.010700,37134985.98866
2025-02-07,0.010700,0.012420,0.009720,0.010170,45050994.45508
2025-02-08,0.010230,0.010850,0.010060,0.010550,8009600.01548
2025-02-09,0.010630,0.010890,0.009290,0.010040,17213226.83881
2025-02-10,0.010040,0.010750,0.009540,0.010030,4081858.80597
2025-02-11,0.010070,0.011070,0.009790,0.010010,4600107.57967
2025-02-12,0.009950,0.010550,0.009270,0.010550,66748797.75608
2025-02-13,0.010570,0.011400,0.009410,0.010250,140924902.16093
2025-02-14,0.010210,0.011540,0.010090,0.010780,102427118.86093
2025-02-15,0.010770,0.011070,0.009850,0.010120,47543129.84353
2025-02-16,0.010110,0.010190,0.009590,0.009670,27275505.32385
2025-02-17,0.009660,0.010000,0.009070,0.009230,36831003.06169
2025-02-18,0.009240,0.009310,0.007810,0.008240,31164210.36008
2025-02-19,0.008320,0.008380,0.007840,0.007980,16101182.67378
2025-02-20,0.007990,0.008780,0.007950,0.008730,4330645.05326
2025-02-21,0.008740,0.009550,0.008270,0.008440,11286732.37824
2025-02-22,0.008340,0.009340,0.008270,0.008940,25698290.14879
2025-02-23,0.008900,0.008920,0.008220,0.008660,11596623.68576
2025-02-24,0.008660,0.008980,0.007050,0.007310,55213864.18594
2025-02-25,0.007210,0.008510,0.006750,0.008100,13785728.07195
2025-02-26,0.008050,0.008490,0.007880,0.008270,13823404.44064
2025-02-27,0.008410,0.008860,0.008020,0.008080,19897040.93719
2025-02-28,0.008060,0.009500,0.007610,0.009090,66311680.14333
