date,open,high,low,close,volume
2024-09-19,0.8981,0.9699,0.8510,0.9220,45140.54577
2024-09-20,0.8702,1.0900,0.8665,0.9148,113908.50991
2024-09-21,0.9149,0.9796,0.8589,0.9243,95065.40125
2024-09-22,0.9332,0.9550,0.7836,0.8877,89968.96859
2024-09-23,0.8880,0.9963,0.8659,0.9330,228967.58522
2024-09-24,0.9241,1.0550,0.8622,1.0054,281223.74468
2024-09-25,1.0194,1.1000,0.9740,0.9894,280235.78845
2024-09-26,0.9898,1.1000,0.9624,1.0304,280491.09873
2024-09-27,1.0276,1.0821,0.9193,0.9367,549861.22089
2024-09-28,0.9366,0.9582,0.8965,0.9250,255468.23145
2024-09-29,0.9269,1.0582,0.9138,0.9844,357079.52095
2024-09-30,0.9942,1.0296,0.9295,0.9517,340372.70025
2024-10-01,0.9532,1.0932,0.9317,0.9827,857254.71110
2024-10-02,0.9816,1.0685,0.9038,0.9673,566483.94807
2024-10-03,0.9752,1.1000,0.9050,0.9625,2839290.97988
2024-10-04,0.9615,1.3110,0.9423,1.1629,1061379.50842
2024-10-05,1.1690,1.3440,1.1378,1.2180,2602859.90439
2024-10-06,1.2117,1.4608,1.2037,1.4058,3551353.04669
2024-10-07,1.3981,1.4836,1.2722,1.2759,4114959.13871
2024-10-08,1.2844,1.3099,1.1722,1.2115,1330105.35656
2024-10-09,1.2144,1.2847,1.1269,1.1563,770494.05833
2024-10-10,1.1583,1.2770,1.1140,1.2766,1004320.16488
2024-10-11,1.2705,1.3614,1.2277,1.3614,2400345.09203
2024-10-12,1.3625,1.5620,1.3568,1.4810,6187926.01900
2024-10-13,1.4846,1.5167,1.3472,1.3794,3058305.05534
2024-10-14,1.3795,1.4910,1.3199,1.3920,3495202.27313
2024-10-15,1.3936,1.3995,1.2515,1.2853,5231477.92999
2024-10-16,1.2840,1.2938,1.1823,1.2279,2870052.43617
2024-10-17,1.2338,1.3800,1.1777,1.3537,3314602.01396
2024-10-18,1.3514,1.4253,1.3105,1.3768,3802305.74420
2024-10-19,1.3781,1.3845,1.2406,1.2631,3540286.91661
2024-10-20,1.2607,1.3974,1.2234,1.3671,1478808.04567
2024-10-21,1.3723,1.4250,1.2639,1.2930,3071863.47713
2024-10-22,1.2992,1.4730,1.2775,1.4235,4327771.77785
2024-10-23,1.4349,1.5000,1.3345,1.4905,5887479.14856
2024-10-24,1.4946,1.6768,1.4553,1.5535,5312470.62217
2024-10-25,1.5483,1.5574,1.2857,1.3646,5252976.26475
2024-10-26,1.3551,1.4899,1.3400,1.4350,1286808.54579
2024-10-27,1.4346,1.6176,1.4111,1.5572,4664801.38018
2024-10-28,1.5637,1.6168,1.4375,1.5890,8448641.45202
2024-10-29,1.5900,1.8199,1.5680,1.7195,4368973.94377
2024-10-30,1.7176,1.7527,1.6389,1.7028,826027.85024
2024-10-31,1.7138,1.7138,1.5445,1.5580,1317698.37993
2024-11-01,1.5629,1.7000,1.4701,1.5112,7175013.26137
2024-11-02,1.5109,1.5221,1.4236,1.4776,1156916.36228
2024-11-03,1.4810,1.4827,1.2266,1.3706,2987285.58982
2024-11-04,1.3749,1.4150,1.1650,1.2159,10576496.12336
2024-11-05,1.2171,1.3800,1.2008,1.2686,4116798.40291
2024-11-06,1.2686,1.6660,1.2622,1.6148,6020908.06787
2024-11-07,1.6207,1.6487,1.4814,1.6035,1957435.33112
2024-11-08,1.6036,1.6500,1.4828,1.5282,2427479.70967
2024-11-09,1.5230,1.5677,1.3680,1.4187,1759177.86370
2024-11-10,1.4211,1.5858,1.3706,1.5128,5725071.92578
2024-11-11,1.5057,1.7432,1.4925,1.7080,4756879.23425
2024-11-12,1.7129,1.7532,1.4400,1.6958,2680468.04225
2024-11-13,1.7008,2.0145,1.3845,1.9654,7383389.17488
2024-11-14,1.9803,1.9985,1.6403,1.6655,3827274.86144
2024-11-15,1.6697,1.9477,1.5392,1.8770,2612120.01423
2024-11-16,1.8809,1.9555,1.6918,1.7423,1865190.15504
