date,open,high,low,close,volume
2025-01-18,29.153,31.199,22.103,28.890,954265.07049
2025-01-19,28.889,98.980,24.031,46.591,11397051.90915
2025-01-20,46.599,64.162,34.510,36.428,8684492.77253
2025-01-21,36.499,48.390,30.330,43.775,5653886.42893
2025-01-22,43.816,44.495,36.026,36.838,1969290.98093
2025-01-23,36.844,39.555,34.109,34.700,1779406.38242
2025-01-24,34.694,35.420,29.088,30.173,1365655.67830
2025-01-25,30.173,30.623,25.718,28.896,1380639.85980
2025-01-26,28.888,32.261,27.062,27.397,1012651.86219
2025-01-27,27.378,28.206,24.649,28.023,1059580.04353
2025-01-28,28.024,30.439,26.240,27.331,1090613.11329
2025-01-29,27.331,28.667,26.302,27.253,643292.17417
2025-01-30,27.285,28.282,25.806,26.059,403743.26365
2025-01-31,26.067,26.598,23.626,24.124,476506.06095
2025-02-01,24.125,25.003,18.569,19.698,1247038.55552
2025-02-02,19.701,22.611,19.399,21.000,1952398.71870
2025-02-03,21.000,21.209,15.712,19.693,2594801.62699
2025-02-04,19.678,19.788,16.360,17.200,1069383.74963
2025-02-05,17.200,20.697,17.200,18.144,770562.26319
2025-02-06,18.167,19.510,16.811,17.093,570781.43259
2025-02-07,17.095,18.250,16.166,16.601,454636.28092
2025-02-08,16.586,17.450,16.219,17.250,212133.42217
2025-02-09,17.249,17.937,15.305,15.900,375401.30255
2025-02-10,15.886,16.545,14.344,15.920,410835.17060
2025-02-11,15.906,16.793,15.235,15.350,228296.24205
2025-02-12,15.354,15.561,14.484,15.458,264110.22117
2025-02-13,15.455,17.894,15.305,16.284,579225.92479
2025-02-14,16.306,24.549,15.854,21.591,1922229.42337
2025-02-15,21.594,22.397,18.097,18.685,993788.67942
2025-02-16,18.677,19.600,18.257,18.757,734373.12537
2025-02-17,18.752,19.333,16.868,17.180,614263.98218
2025-02-18,17.186,17.415,15.614,16.358,579111.00103
2025-02-19,16.361,17.400,16.064,17.043,468396.89388
2025-02-20,17.031,17.444,16.580,17.065,247751.82908
2025-02-21,17.080,17.371,15.680,15.879,421846.84312
2025-02-22,15.885,16.755,15.750,16.503,170266.88655
2025-02-23,16.521,16.580,15.822,16.141,149555.32607
2025-02-24,16.127,16.300,12.165,12.944,700294.50385
2025-02-25,12.943,13.662,12.326,13.241,612314.46774
2025-02-26,13.242,13.315,12.400,13.295,275423.06012
2025-02-27,13.280,13.603,12.304,12.583,268179.49903
2025-02-28,12.590,13.530,11.071,12.952,687222.72706
2025-03-01,12.954,17.555,12.669,13.179,621305.07332
