date,open,high,low,close,volume
2024-08-19,1.3878,1.4431,1.3260,1.4431,1217207.12502
2024-08-20,1.4335,1.6198,1.4180,1.5563,1785586.14575
2024-08-21,1.5559,1.6078,1.4705,1.5617,880199.69813
2024-08-22,1.5641,1.6622,1.5301,1.6263,2208227.31286
2024-08-23,1.6180,1.8824,1.5912,1.8431,1520324.10403
2024-08-24,1.8455,2.0373,1.7882,1.9699,1385079.85507
2024-08-25,1.9688,1.9688,1.8495,1.9024,796974.81506
2024-08-26,1.9058,2.1380,1.7697,1.7717,1506685.41373
2024-08-27,1.7766,1.8275,1.5528,1.5762,1850381.67789
2024-08-28,1.5660,1.6576,1.4820,1.5833,1203280.97030
2024-08-29,1.5829,1.6900,1.5237,1.5389,1629209.87287
2024-08-30,1.5392,1.5731,1.4400,1.5496,802413.48821
2024-08-31,1.5431,1.5774,1.5008,1.5178,309648.06388
2024-09-01,1.5152,1.5255,1.3803,1.3981,816767.19330
2024-09-02,1.3965,1.5587,1.3834,1.5402,816413.02430
2024-09-03,1.5344,1.6386,1.4869,1.4896,2054326.47441
2024-09-04,1.4923,1.6456,1.4209,1.6293,1498500.73514
2024-09-05,1.6366,1.6366,1.5048,1.5301,892030.87682
2024-09-06,1.5331,1.6058,1.4000,1.4962,1861886.09003
2024-09-07,1.4862,1.5354,1.4653,1.4770,600642.69601
2024-09-08,1.4738,1.5900,1.4738,1.5669,342124.54170
2024-09-09,1.5771,1.7650,1.5147,1.6698,1445243.43595
2024-09-10,1.6688,1.7167,1.6280,1.6500,670179.14320
2024-09-11,1.6500,1.6500,1.4980,1.5420,857488.20227
2024-09-12,1.5450,1.6010,1.5131,1.5626,796570.49686
2024-09-13,1.5606,1.6646,1.5069,1.6352,411723.21440
2024-09-14,1.6412,1.6448,1.5524,1.5686,241897.86631
2024-09-15,1.5647,1.5965,1.4859,1.5027,200063.33780
2024-09-16,1.4984,1.5492,1.4560,1.5062,763726.16646
2024-09-17,1.5155,1.5788,1.4956,1.5319,645266.27794
2024-09-18,1.5189,1.6237,1.4448,1.6170,878751.26618
2024-09-19,1.6195,1.8180,1.5951,1.7729,1723988.25110
2024-09-20,1.7789,1.9000,1.7117,1.7737,1018072.20701
2024-09-21,1.7774,1.7837,1.6671,1.7825,561872.05181
